1.500000	7.966954e-01	8.559409e-03	-3.335095e+02	9.743547e-01	1.669980e+07	5.001453e-01
1.700000	8.004310e-01	9.357740e-03	-3.263813e+02	2.480505e+00	1.247084e+07	5.274642e-01
1.900000	8.032328e-01	6.201881e-03	-3.355085e+02	2.021338e+00	1.055884e+07	2.072971e-01
2.100000	8.125718e-01	6.201881e-03	-3.360624e+02	3.170736e+00	8.678886e+06	1.875545e-01
2.300000	7.929598e-01	1.122245e-02	-3.381199e+02	1.293684e+00	7.305185e+06	5.607219e-01
2.500000	8.069684e-01	5.673059e-03	-3.400623e+02	1.106297e+00	6.269194e+06	1.318240e-01
2.700000	7.994971e-01	7.118561e-03	-3.398485e+02	2.006570e+00	5.365721e+06	1.921855e-01
2.900000	8.116379e-01	1.024749e-02	-3.389860e+02	1.950753e+00	4.631943e+06	3.707974e-01
3.100000	7.817529e-01	7.946454e-03	-3.411493e+02	2.879166e+00	4.108560e+06	2.085860e-01
3.300000	7.901580e-01	7.819214e-03	-3.403445e+02	2.131473e+00	3.602820e+06	1.897196e-01
