5e+18 0 0
1.5e+19 0 0
2.5e+19 0 0
3.5e+19 0 0
4.5e+19 0 0
5.5e+19 0 0
6.5e+19 0 0
7.5e+19 0 0
8.5e+19 0 0
9.5e+19 0 0
1.05e+20 0 0
1.15e+20 0 0
1.25e+20 0 0
1.35e+20 0 0
1.45e+20 0 0
1.55e+20 0 0
1.65e+20 0 0
1.75e+20 0 0
1.85e+20 0 0
1.95e+20 0 0
2.05e+20 0 0
2.15e+20 0 0
2.25e+20 0 0
2.35e+20 0 0
2.45e+20 0 0
2.55e+20 0 0
2.65e+20 0 0
2.75e+20 0 0
2.85e+20 0 0
2.95e+20 0 0
3.05e+20 7.80084e-10 9.5727e-11
3.15e+20 6.41692e-10 8.88009e-11
3.25e+20 5.91934e-10 8.92122e-11
3.35e+20 6.42482e-10 3.51209e-11
3.45e+20 5.9772e-10 7.11173e-11
3.55e+20 5.55331e-10 5.93247e-11
3.65e+20 4.84446e-10 5.07124e-11
3.75e+20 5.98715e-10 7.30617e-11
3.85e+20 4.77047e-10 7.18537e-11
3.95e+20 6.11413e-10 6.54941e-11
4.05e+20 4.57012e-10 5.99282e-11
4.15e+20 3.91861e-10 5.23593e-11
4.25e+20 4.66229e-10 4.91597e-11
4.35e+20 3.79345e-10 4.78961e-11
4.45e+20 4.41444e-10 6.22488e-11
4.55e+20 3.93875e-10 4.25684e-11
4.65e+20 3.77514e-10 3.39688e-11
4.75e+20 3.66275e-10 5.18471e-11
4.85e+20 4.43527e-10 3.13175e-11
4.95e+20 4.09673e-10 4.05198e-11
5.05e+20 4.48728e-10 4.26992e-11
5.15e+20 4.70859e-10 2.64719e-11
5.25e+20 4.14896e-10 7.71082e-11
5.35e+20 4.21225e-10 2.79699e-11
5.45e+20 3.79493e-10 4.31603e-11
5.55e+20 4.17247e-10 2.94186e-11
5.65e+20 3.25163e-10 1.83913e-11
5.75e+20 4.07796e-10 3.51231e-11
5.85e+20 3.73481e-10 2.5306e-11
5.95e+20 3.897e-10 4.53576e-11
6.05e+20 2.66836e-10 4.28867e-11
6.15e+20 4.00328e-10 2.79669e-11
6.25e+20 3.63482e-10 3.50701e-11
6.35e+20 2.69671e-10 5.58935e-11
6.45e+20 3.09743e-10 2.72697e-11
6.55e+20 2.34113e-10 3.19386e-11
6.65e+20 2.46673e-10 3.28197e-11
6.75e+20 2.98853e-10 3.24804e-11
6.85e+20 2.77383e-10 2.12882e-11
6.95e+20 3.49526e-10 3.12793e-11
7.05e+20 2.15917e-10 2.14423e-11
7.15e+20 2.84698e-10 3.14528e-11
7.25e+20 2.38045e-10 2.43508e-11
7.35e+20 1.90143e-10 3.47863e-11
7.45e+20 2.34855e-10 1.93604e-11
7.55e+20 2.76103e-10 3.91901e-11
7.65e+20 2.87091e-10 3.87658e-11
7.75e+20 2.08116e-10 2.7191e-11
7.85e+20 2.54674e-10 2.33075e-11
7.95e+20 2.61414e-10 2.7811e-11
8.05e+20 2.9712e-10 1.52865e-11
8.15e+20 2.21225e-10 3.07455e-11
8.25e+20 2.73708e-10 2.90714e-11
8.35e+20 2.60793e-10 2.2995e-11
8.45e+20 2.507e-10 2.18329e-11
8.55e+20 1.84443e-10 3.20297e-11
8.65e+20 1.83523e-10 2.29501e-11
8.75e+20 2.70232e-10 2.42271e-11
8.85e+20 2.61775e-10 2.97801e-11
8.95e+20 2.04109e-10 2.45577e-11
9.05e+20 2.39232e-10 2.69609e-11
9.15e+20 2.15027e-10 1.9543e-11
9.25e+20 2.26342e-10 3.06363e-11
9.35e+20 1.87154e-10 1.75071e-11
9.45e+20 2.18665e-10 1.83269e-11
9.55e+20 1.70467e-10 2.06628e-11
9.65e+20 1.73394e-10 1.82546e-11
9.75e+20 2.0132e-10 2.6957e-11
9.85e+20 1.89273e-10 2.71578e-11
9.95e+20 2.00004e-10 1.98045e-11
