1.500000	0	15	17
1.500000	1	12	20
1.500000	2	16	16
1.500000	3	17	15
1.500000	4	17	15
1.500000	5	13	19
1.500000	6	9	23
1.500000	7	9	23
1.500000	8	19	13
1.500000	9	18	14
1.500000	10	14	18
1.500000	11	18	14
1.500000	12	20	12
1.500000	13	26	6
1.500000	14	18	14
1.500000	15	21	11
1.500000	16	20	12
1.500000	17	17	15
1.500000	18	19	13
1.500000	19	20	12
1.500000	20	16	16
1.500000	21	14	18
1.500000	22	13	19
1.500000	23	17	15
1.500000	24	16	16
1.500000	25	16	16
1.500000	26	10	22
1.500000	27	13	19
1.500000	28	13	19
1.500000	29	13	19
1.500000	30	14	18
1.500000	31	19	13

1.700000	0	14	18
1.700000	1	17	15
1.700000	2	14	18
1.700000	3	12	20
1.700000	4	12	20
1.700000	5	18	14
1.700000	6	16	16
1.700000	7	15	17
1.700000	8	12	20
1.700000	9	16	16
1.700000	10	20	12
1.700000	11	16	16
1.700000	12	14	18
1.700000	13	12	20
1.700000	14	15	17
1.700000	15	18	14
1.700000	16	14	18
1.700000	17	21	11
1.700000	18	24	8
1.700000	19	15	17
1.700000	20	12	20
1.700000	21	20	12
1.700000	22	17	15
1.700000	23	21	11
1.700000	24	18	14
1.700000	25	15	17
1.700000	26	21	11
1.700000	27	13	19
1.700000	28	20	12
1.700000	29	16	16
1.700000	30	14	18
1.700000	31	10	22

1.900000	0	15	17
1.900000	1	14	18
1.900000	2	21	11
1.900000	3	15	17
1.900000	4	16	16
1.900000	5	15	17
1.900000	6	14	18
1.900000	7	22	10
1.900000	8	17	15
1.900000	9	18	14
1.900000	10	14	18
1.900000	11	19	13
1.900000	12	13	19
1.900000	13	13	19
1.900000	14	18	14
1.900000	15	14	18
1.900000	16	15	17
1.900000	17	16	16
1.900000	18	16	16
1.900000	19	16	16
1.900000	20	14	18
1.900000	21	15	17
1.900000	22	15	17
1.900000	23	16	16
1.900000	24	15	17
1.900000	25	23	9
1.900000	26	12	20
1.900000	27	17	15
1.900000	28	9	23
1.900000	29	21	11
1.900000	30	19	13
1.900000	31	15	17

2.100000	0	13	19
2.100000	1	13	19
2.100000	2	12	20
2.100000	3	16	16
2.100000	4	12	20
2.100000	5	20	12
2.100000	6	13	19
2.100000	7	18	14
2.100000	8	18	14
2.100000	9	17	15
2.100000	10	19	13
2.100000	11	14	18
2.100000	12	16	16
2.100000	13	14	18
2.100000	14	18	14
2.100000	15	18	14
2.100000	16	16	16
2.100000	17	14	18
2.100000	18	8	24
2.100000	19	23	9
2.100000	20	20	12
2.100000	21	19	13
2.100000	22	9	23
2.100000	23	19	13
2.100000	24	20	12
2.100000	25	17	15
2.100000	26	23	9
2.100000	27	16	16
2.100000	28	16	16
2.100000	29	15	17
2.100000	30	17	15
2.100000	31	9	23

2.300000	0	18	14
2.300000	1	14	18
2.300000	2	18	14
2.300000	3	17	15
2.300000	4	15	17
2.300000	5	18	14
2.300000	6	18	14
2.300000	7	16	16
2.300000	8	16	16
2.300000	9	14	18
2.300000	10	12	20
2.300000	11	12	20
2.300000	12	18	14
2.300000	13	16	16
2.300000	14	16	16
2.300000	15	18	14
2.300000	16	12	20
2.300000	17	14	18
2.300000	18	17	15
2.300000	19	20	12
2.300000	20	17	15
2.300000	21	20	12
2.300000	22	17	15
2.300000	23	14	18
2.300000	24	15	17
2.300000	25	19	13
2.300000	26	18	14
2.300000	27	16	16
2.300000	28	17	15
2.300000	29	14	18
2.300000	30	12	20
2.300000	31	14	18

