1.500000	3.007813e-02	7.267095e-03	-7.053070e+02	7.607136e-01	7.523436e+07	3.605208e-01
1.700000	3.164062e-02	6.037652e-03	-7.176256e+02	3.620131e-01	6.051118e+07	2.195772e-01
1.900000	2.929688e-02	5.130440e-03	-7.293658e+02	7.324611e-01	5.014151e+07	1.418586e-01
2.100000	2.617188e-02	5.271267e-03	-7.397949e+02	8.630397e-01	4.211414e+07	1.354911e-01
2.300000	2.187500e-02	7.618690e-03	-7.513303e+02	9.812224e-01	3.621295e+07	2.584239e-01
2.500000	3.125000e-02	8.752092e-03	-7.606918e+02	8.058291e-01	3.149364e+07	3.137500e-01
2.700000	3.007813e-02	6.027535e-03	-7.712361e+02	5.406876e-01	2.770937e+07	1.377894e-01
2.900000	2.851562e-02	6.856554e-03	-7.799158e+02	5.259267e-01	2.458971e+07	1.660022e-01
3.100000	2.539062e-02	6.703517e-03	-7.860584e+02	5.083870e-01	2.187632e+07	1.484375e-01
3.300000	2.031250e-02	3.738589e-03	-7.936530e+02	7.674493e-01	1.972808e+07	4.337121e-02
