1.976e+30	1.800e+13	0.000e+00	6.938e+03	5.522e+06
1.924e+30	2.025e+19	2.558e+18	-6.441e+02	5.148e+03
1.921e+30	3.953e+19	1.015e+19	-9.055e+02	3.541e+03
1.913e+30	5.693e+19	2.254e+19	-1.107e+03	2.779e+03
2.069e+30	7.154e+19	3.933e+19	-1.253e+03	2.267e+03
2.026e+30	8.255e+19	5.998e+19	-1.365e+03	1.878e+03
1.988e+30	8.926e+19	8.382e+19	-1.447e+03	1.539e+03
2.038e+30	9.106e+19	1.101e+20	-1.510e+03	1.245e+03
1.927e+30	8.748e+19	1.378e+20	-1.549e+03	9.790e+02
2.082e+30	7.820e+19	1.662e+20	-1.562e+03	7.392e+02
2.017e+30	6.306e+19	1.941e+20	-1.556e+03	5.087e+02
1.935e+30	4.207e+19	2.205e+20	-1.534e+03	2.963e+02
2.051e+30	1.538e+19	2.444e+20	-1.493e+03	9.108e+01
1.900e+30	-1.666e+19	2.648e+20	-1.433e+03	-8.919e+01
2.010e+30	-5.354e+19	2.807e+20	-1.358e+03	-2.576e+02
2.072e+30	-9.460e+19	2.911e+20	-1.271e+03	-4.165e+02
1.949e+30	-1.390e+20	2.955e+20	-1.172e+03	-5.522e+02
2.016e+30	-1.859e+20	2.929e+20	-1.059e+03	-6.708e+02
1.914e+30	-2.342e+20	2.830e+20	-9.434e+02	-7.810e+02
1.949e+30	-2.827e+20	2.654e+20	-8.142e+02	-8.638e+02
1.912e+30	-3.302e+20	2.399e+20	-6.778e+02	-9.379e+02
2.008e+30	-3.756e+20	2.065e+20	-5.440e+02	-9.907e+02
2.030e+30	-4.175e+20	1.653e+20	-4.073e+02	-1.029e+03
2.011e+30	-4.546e+20	1.167e+20	-2.678e+02	-1.047e+03
2.036e+30	-4.859e+20	6.139e+19	-1.312e+02	-1.048e+03
2.025e+30	-5.102e+20	6.248e+04	-1.225e+00	-1.036e+03
2.064e+30	-5.264e+20	-6.650e+19	1.269e+02	-1.006e+03
1.961e+30	-5.337e+20	-1.370e+20	2.477e+02	-9.666e+02
1.925e+30	-5.313e+20	-2.104e+20	3.591e+02	-9.086e+02
1.971e+30	-5.186e+20	-2.851e+20	4.625e+02	-8.434e+02
1.902e+30	-4.953e+20	-3.599e+20	5.541e+02	-7.644e+02
1.964e+30	-4.612e+20	-4.331e+20	6.353e+02	-6.770e+02
1.963e+30	-4.163e+20	-5.032e+20	7.072e+02	-5.821e+02
2.024e+30	-3.609e+20	-5.686e+20	7.612e+02	-4.810e+02
2.081e+30	-2.954e+20	-6.278e+20	8.052e+02	-3.798e+02
2.020e+30	-2.207e+20	-6.793e+20	8.330e+02	-2.702e+02
1.956e+30	-1.377e+20	-7.217e+20	8.458e+02	-1.605e+02
1.907e+30	-4.741e+19	-7.536e+20	8.496e+02	-5.392e+01
1.952e+30	4.869e+19	-7.740e+20	8.365e+02	5.409e+01
1.957e+30	1.491e+20	-7.818e+20	8.166e+02	1.541e+02
2.078e+30	2.523e+20	-7.764e+20	7.769e+02	2.519e+02
1.911e+30	3.563e+20	-7.571e+20	7.326e+02	3.449e+02
1.994e+30	4.593e+20	-7.237e+20	6.735e+02	4.278e+02
1.905e+30	5.594e+20	-6.762e+20	6.088e+02	5.020e+02
1.935e+30	6.546e+20	-6.147e+20	5.346e+02	5.676e+02
2.040e+30	7.430e+20	-5.398e+20	4.547e+02	6.230e+02
1.911e+30	8.227e+20	-4.523e+20	3.679e+02	6.678e+02
2.061e+30	8.918e+20	-3.531e+20	2.798e+02	7.007e+02
1.916e+30	9.488e+20	-2.436e+20	1.868e+02	7.224e+02
1.929e+30	9.921e+20	-1.253e+20	9.376e+01	7.353e+02
