1.8e-08, 0
0.02025, 0.002558
0.03953, 0.01015
0.05693, 0.02254
0.07154, 0.03933
0.08255, 0.05998
0.08926, 0.08382
0.09106, 0.1101
0.08748, 0.1378
0.0782, 0.1662
0.06306, 0.1941
0.04207, 0.2205
0.01538, 0.2444
-0.01666, 0.2648
-0.05354, 0.2807
-0.0946, 0.2911
-0.139, 0.2955
-0.1859, 0.2929
-0.2342, 0.283
-0.2827, 0.2654
-0.3302, 0.2399
-0.3756, 0.2065
-0.4175, 0.1653
-0.4546, 0.1167
-0.4859, 0.06139
-0.5102, 6.248e-17
-0.5264, -0.0665
-0.5337, -0.137
-0.5313, -0.2104
-0.5186, -0.2851
-0.4953, -0.3599
-0.4612, -0.4331
-0.4163, -0.5032
-0.3609, -0.5686
-0.2954, -0.6278
-0.2207, -0.6793
-0.1377, -0.7217
-0.04741, -0.7536
0.04869, -0.774
0.1491, -0.7818
0.2523, -0.7764
0.3563, -0.7571
0.4593, -0.7237
0.5594, -0.6762
0.6546, -0.6147
0.743, -0.5398
0.8227, -0.4523
0.8918, -0.3531
0.9488, -0.2436
0.9921, -0.1253

-2.74878e+31, 3.47886e-07
-2.12091e+19, -2.67915e+18
-5.17891e+18, -1.32977e+18
-2.20871e+18, -8.74484e+17
-1.17098e+18, -6.43763e+17
-6.91981e+17, -5.02786e+17
-4.33015e+17, -4.06624e+17
-2.7805e+17, -3.36188e+17
-1.79165e+17, -2.82224e+17
-1.12388e+17, -2.3886e+17
-6.60685e+16, -2.0336e+17
-3.31237e+16, -1.7361e+17
-9.32744e+15, -1.4822e+17
7.94387e+15, -1.26263e+17
2.04342e+16, -1.07132e+17
2.93797e+16, -9.04062e+16
3.55477e+16, -7.55708e+16
3.96551e+16, -6.24797e+16
4.20791e+16, -5.08471e+16
4.31844e+16, -4.05417e+16
4.32525e+16, -3.14242e+16
4.24799e+16, -2.33549e+16
4.10683e+16, -1.62601e+16
3.91608e+16, -1.00529e+16
3.68361e+16, -4.65398e+15
3.4214e+16, -4.18991
3.13862e+16, 3.96501e+15
2.84131e+16, 7.29361e+15
2.53574e+16, 1.00418e+16
2.22839e+16, 1.22505e+16
1.92206e+16, 1.39663e+16
1.62191e+16, 1.52309e+16
1.33103e+16, 1.60887e+16
1.05227e+16, 1.65786e+16
7.87669e+15, 1.674e+16
5.39425e+15, 1.66031e+16
3.09211e+15, 1.62061e+16
9.80751e+14, 1.55894e+16
