1.500000	8.286099e-01	1.197557e-02	-1.766207e+00	2.406799e-03	3.381753e+00	3.916168e+00
1.700000	7.784124e-01	1.929882e-02	-1.711502e+00	3.140258e-03	2.254044e+00	8.973721e+00
1.900000	8.169361e-01	1.547813e-02	-1.650869e+00	3.711744e-03	1.465693e+00	5.164682e+00
2.100000	8.120330e-01	1.174276e-02	-1.575799e+00	2.720821e-03	6.922823e-01	2.689557e+00
2.300000	7.917205e-01	5.489938e-03	-1.504807e+00	2.173746e-03	2.847234e-01	5.367437e-01
2.500000	8.059626e-01	7.149126e-03	-1.469677e+00	1.265143e-03	1.695537e-01	8.373862e-01
2.700000	7.886853e-01	5.707546e-03	-1.441511e+00	9.352943e-04	1.151884e-01	4.941912e-01
2.900000	8.094648e-01	8.527826e-03	-1.422791e+00	8.135578e-04	9.228143e-02	1.027161e+00
3.100000	7.998922e-01	3.543932e-03	-1.408319e+00	6.066553e-04	7.024678e-02	1.659468e-01
3.300000	7.926545e-01	5.264894e-03	-1.395223e+00	5.734438e-04	5.603865e-02	3.440529e-01
