1.500000	0	36	28
1.500000	1	41	23
1.500000	2	30	34
1.500000	3	33	31
1.500000	4	33	31
1.500000	5	34	30
1.500000	6	31	33
1.500000	7	32	32
1.500000	8	31	33
1.500000	9	33	31
1.500000	10	31	33
1.500000	11	28	36
1.500000	12	27	37
1.500000	13	28	36
1.500000	14	32	32
1.500000	15	37	27
1.500000	16	38	26
1.500000	17	36	28
1.500000	18	32	32
1.500000	19	30	34
1.500000	20	28	36
1.500000	21	27	37
1.500000	22	20	44
1.500000	23	24	40
1.500000	24	20	44
1.500000	25	22	42
1.500000	26	23	41
1.500000	27	27	37
1.500000	28	36	28
1.500000	29	42	22
1.500000	30	49	15
1.500000	31	56	8
1.500000	32	51	13
1.500000	33	53	11
1.500000	34	44	20
1.500000	35	36	28
1.500000	36	26	38
1.500000	37	24	40
1.500000	38	27	37
1.500000	39	24	40
1.500000	40	17	47
1.500000	41	20	44
1.500000	42	15	49
1.500000	43	16	48
1.500000	44	18	46
1.500000	45	26	38
1.500000	46	31	33
1.500000	47	33	31
1.500000	48	34	30
1.500000	49	41	23
1.500000	50	45	19
1.500000	51	46	18
1.500000	52	45	19
1.500000	53	38	26
1.500000	54	35	29
1.500000	55	37	27
1.500000	56	35	29
1.500000	57	34	30
1.500000	58	32	32
1.500000	59	27	37
1.500000	60	26	38
1.500000	61	24	40
1.500000	62	29	35
1.500000	63	32	32

1.700000	0	28	36
1.700000	1	25	39
1.700000	2	17	47
1.700000	3	13	51
1.700000	4	11	53
1.700000	5	14	50
1.700000	6	20	44
1.700000	7	34	30
1.700000	8	43	21
1.700000	9	45	19
1.700000	10	52	12
1.700000	11	54	10
1.700000	12	53	11
1.700000	13	50	14
1.700000	14	47	17
1.700000	15	47	17
1.700000	16	38	26
1.700000	17	22	42
1.700000	18	19	45
1.700000	19	18	46
1.700000	20	13	51
1.700000	21	8	56
1.700000	22	6	58
1.700000	23	11	53
1.700000	24	19	45
1.700000	25	24	40
1.700000	26	34	30
1.700000	27	42	22
1.700000	28	51	13
1.700000	29	51	13
1.700000	30	54	10
1.700000	31	53	11
1.700000	32	56	8
1.700000	33	56	8
1.700000	34	51	13
1.700000	35	53	11
1.700000	36	48	16
1.700000	37	49	15
1.700000	38	39	25
1.700000	39	35	29
1.700000	40	29	35
1.700000	41	21	43
1.700000	42	16	48
1.700000	43	13	51
1.700000	44	11	53
1.700000	45	11	53
1.700000	46	10	54
1.700000	47	11	53
1.700000	48	19	45
1.700000	49	18	46
1.700000	50	30	34
1.700000	51	34	30
1.700000	52	33	31
1.700000	53	40	24
1.700000	54	41	23
1.700000	55	46	18
1.700000	56	42	22
1.700000	57	41	23
1.700000	58	34	30
1.700000	59	30	34
1.700000	60	32	32
1.700000	61	31	33
1.700000	62	24	40
1.700000	63	28	36

1.900000	0	54	10
1.900000	1	53	11
1.900000	2	51	13
1.900000	3	41	23
1.900000	4	37	27
1.900000	5	34	30
1.900000	6	33	31
1.900000	7	35	29
1.900000	8	31	33
1.900000	9	28	36
1.900000	10	27	37
1.900000	11	24	40
1.900000	12	22	42
1.900000	13	16	48
1.900000	14	12	52
1.900000	15	8	56
1.900000	16	8	56
1.900000	17	7	57
1.900000	18	9	55
1.900000	19	7	57
1.900000	20	13	51
1.900000	21	13	51
1.900000	22	12	52
1.900000	23	20	44
1.900000	24	22	42
1.900000	25	20	44
1.900000	26	24	40
1.900000	27	30	34
1.900000	28	36	28
1.900000	29	50	14
1.900000	30	49	15
1.900000	31	50	14
1.900000	32	50	14
1.900000	33	50	14
1.900000	34	50	14
1.900000	35	47	17
1.900000	36	46	18
1.900000	37	41	23
1.900000	38	39	25
1.900000	39	37	27
1.900000	40	35	29
1.900000	41	31	33
1.900000	42	34	30
1.900000	43	31	33
1.900000	44	30	34
1.900000	45	32	32
1.900000	46	22	42
1.900000	47	22	42
1.900000	48	27	37
1.900000	49	34	30
1.900000	50	38	26
1.900000	51	35	29
1.900000	52	35	29
1.900000	53	35	29
1.900000	54	36	28
1.900000	55	38	26
1.900000	56	35	29
1.900000	57	38	26
1.900000	58	35	29
1.900000	59	35	29
1.900000	60	35	29
1.900000	61	36	28
1.900000	62	37	27
1.900000	63	46	18

2.100000	0	33	31
2.100000	1	34	30
2.100000	2	31	33
2.100000	3	32	32
2.100000	4	37	27
2.100000	5	38	26
2.100000	6	27	37
2.100000	7	34	30
2.100000	8	37	27
2.100000	9	33	31
2.100000	10	34	30
2.100000	11	29	35
2.100000	12	16	48
2.100000	13	16	48
2.100000	14	27	37
2.100000	15	24	40
2.100000	16	24	40
2.100000	17	29	35
2.100000	18	32	32
2.100000	19	20	44
2.100000	20	15	49
2.100000	21	11	53
2.100000	22	19	45
2.100000	23	18	46
2.100000	24	20	44
2.100000	25	21	43
2.100000	26	32	32
2.100000	27	32	32
2.100000	28	42	22
2.100000	29	48	16
2.100000	30	49	15
2.100000	31	51	13
2.100000	32	45	19
2.100000	33	46	18
2.100000	34	39	25
2.100000	35	38	26
2.100000	36	40	24
2.100000	37	40	24
2.100000	38	39	25
2.100000	39	40	24
2.100000	40	36	28
2.100000	41	35	29
2.100000	42	34	30
2.100000	43	33	31
2.100000	44	31	33
2.100000	45	25	39
2.100000	46	17	47
2.100000	47	14	50
2.100000	48	17	47
2.100000	49	20	44
2.100000	50	19	45
2.100000	51	23	41
2.100000	52	28	36
2.100000	53	30	34
2.100000	54	34	30
2.100000	55	36	28
2.100000	56	32	32
2.100000	57	40	24
2.100000	58	46	18
2.100000	59	47	17
2.100000	60	51	13
2.100000	61	46	18
2.100000	62	41	23
2.100000	63	41	23

2.300000	0	18	46
2.300000	1	9	55
2.300000	2	17	47
2.300000	3	22	42
2.300000	4	27	37
2.300000	5	25	39
2.300000	6	31	33
2.300000	7	27	37
2.300000	8	30	34
2.300000	9	32	32
2.300000	10	33	31
2.300000	11	40	24
2.300000	12	39	25
2.300000	13	47	17
2.300000	14	43	21
2.300000	15	53	11
2.300000	16	49	15
2.300000	17	49	15
2.300000	18	55	9
2.300000	19	57	7
2.300000	20	49	15
2.300000	21	45	19
2.300000	22	43	21
2.300000	23	38	26
2.300000	24	31	33
2.300000	25	19	45
2.300000	26	20	44
2.300000	27	16	48
2.300000	28	8	56
2.300000	29	13	51
2.300000	30	12	52
2.300000	31	20	44
2.300000	32	24	40
2.300000	33	35	29
2.300000	34	30	34
2.300000	35	39	25
2.300000	36	40	24
2.300000	37	37	27
2.300000	38	29	35
2.300000	39	35	29
2.300000	40	29	35
2.300000	41	33	31
2.300000	42	41	23
2.300000	43	32	32
2.300000	44	33	31
2.300000	45	35	29
2.300000	46	33	31
2.300000	47	34	30
2.300000	48	42	22
2.300000	49	41	23
2.300000	50	35	29
2.300000	51	31	33
2.300000	52	28	36
2.300000	53	27	37
2.300000	54	25	39
2.300000	55	29	35
2.300000	56	34	30
2.300000	57	34	30
2.300000	58	32	32
