1.500000	1.140137e-02	2.663271e-03	-1.410452e+00	1.756475e-03	8.721578e+01	7.747461e-01
1.700000	1.252441e-02	2.977925e-03	-1.384390e+00	1.849040e-03	6.379814e+01	8.546703e-01
1.900000	2.265625e-02	4.744727e-03	-1.324318e+00	1.378632e-03	4.347854e+01	1.941283e+00
2.100000	1.005859e-02	2.550259e-03	-1.239192e+00	1.534924e-03	2.886341e+01	5.074219e-01
2.300000	1.708984e-02	3.108554e-03	-1.131238e+00	1.698132e-03	1.530342e+01	6.883492e-01
2.500000	1.264648e-02	4.371658e-03	-1.016068e+00	1.858557e-03	7.120693e+00	1.252484e+00
2.700000	1.547852e-02	3.344317e-03	-9.144093e-01	1.049775e-03	3.495153e+00	6.786892e-01
2.900000	1.435547e-02	3.161937e-03	-8.273816e-01	1.158592e-03	1.764532e+00	5.648438e-01
3.100000	9.277344e-03	2.015011e-03	-7.560563e-01	1.565360e-03	1.086394e+00	2.145917e-01
3.300000	1.083984e-02	3.462530e-03	-6.956777e-01	8.783765e-04	7.025897e-01	5.952415e-01
