1.500000	5.001302e-01	2.693456e-03	-1.524384e+00	9.777267e-04	5.434423e+01	7.924074e-01
1.700000	5.004557e-01	2.535910e-03	-1.492190e+00	1.622562e-03	4.002586e+01	6.197815e-01
1.900000	5.013184e-01	3.339204e-03	-1.433406e+00	1.615525e-03	2.620550e+01	9.615063e-01
2.100000	4.987793e-01	2.906197e-03	-1.346611e+00	1.375960e-03	1.498683e+01	6.589472e-01
2.300000	4.966960e-01	2.416984e-03	-1.248240e+00	1.375442e-03	6.571245e+00	4.161402e-01
2.500000	5.002930e-01	2.976318e-03	-1.158171e+00	9.789867e-04	2.912445e+00	5.805486e-01
2.700000	4.975586e-01	4.878036e-03	-1.084052e+00	6.321494e-04	1.337592e+00	1.443930e+00
2.900000	4.981771e-01	2.966600e-03	-1.022277e+00	7.737136e-04	7.759553e-01	4.972102e-01
3.100000	5.003418e-01	2.119194e-03	-9.727131e-01	1.240244e-03	4.952796e-01	2.373558e-01
3.300000	4.980957e-01	2.478243e-03	-9.318523e-01	4.589490e-04	3.140492e-01	3.049256e-01
