1.500000	0	63	1
1.500000	1	60	4
1.500000	2	64	0
1.500000	3	64	0
1.500000	4	64	0
1.500000	5	63	1
1.500000	6	63	1
1.500000	7	64	0
1.500000	8	64	0
1.500000	9	63	1
1.500000	10	62	2
1.500000	11	63	1
1.500000	12	64	0
1.500000	13	63	1
1.500000	14	64	0
1.500000	15	54	10
1.500000	16	49	15
1.500000	17	51	13
1.500000	18	52	12
1.500000	19	48	16
1.500000	20	48	16
1.500000	21	51	13
1.500000	22	51	13
1.500000	23	55	9
1.500000	24	64	0
1.500000	25	64	0
1.500000	26	62	2
1.500000	27	56	8
1.500000	28	51	13
1.500000	29	47	17
1.500000	30	47	17
1.500000	31	40	24
1.500000	32	38	26
1.500000	33	46	18
1.500000	34	46	18
1.500000	35	49	15
1.500000	36	58	6
1.500000	37	64	0
1.500000	38	64	0
1.500000	39	63	1
1.500000	40	63	1
1.500000	41	61	3
1.500000	42	62	2
1.500000	43	56	8
1.500000	44	52	12
1.500000	45	57	7
1.500000	46	56	8
1.500000	47	58	6
1.500000	48	58	6
1.500000	49	57	7
1.500000	50	58	6
1.500000	51	58	6
1.500000	52	55	9
1.500000	53	57	7
1.500000	54	55	9
1.500000	55	57	7
1.500000	56	62	2
1.500000	57	61	3
1.500000	58	60	4
1.500000	59	63	1
1.500000	60	63	1
1.500000	61	64	0
1.500000	62	63	1
1.500000	63	64	0

1.700000	0	57	7
1.700000	1	59	5
1.700000	2	58	6
1.700000	3	61	3
1.700000	4	64	0
1.700000	5	64	0
1.700000	6	62	2
1.700000	7	63	1
1.700000	8	64	0
1.700000	9	63	1
1.700000	10	63	1
1.700000	11	64	0
1.700000	12	64	0
1.700000	13	63	1
1.700000	14	64	0
1.700000	15	61	3
1.700000	16	59	5
1.700000	17	59	5
1.700000	18	57	7
1.700000	19	57	7
1.700000	20	58	6
1.700000	21	59	5
1.700000	22	57	7
1.700000	23	57	7
1.700000	24	56	8
1.700000	25	56	8
1.700000	26	52	12
1.700000	27	46	18
1.700000	28	46	18
1.700000	29	47	17
1.700000	30	46	18
1.700000	31	46	18
1.700000	32	52	12
1.700000	33	53	11
1.700000	34	51	13
1.700000	35	56	8
1.700000	36	59	5
1.700000	37	61	3
1.700000	38	62	2
1.700000	39	62	2
1.700000	40	64	0
1.700000	41	64	0
1.700000	42	64	0
1.700000	43	63	1
1.700000	44	64	0
1.700000	45	58	6
1.700000	46	54	10
1.700000	47	54	10
1.700000	48	54	10
1.700000	49	52	12
1.700000	50	57	7
1.700000	51	60	4
1.700000	52	59	5
1.700000	53	56	8
1.700000	54	56	8
1.700000	55	55	9
1.700000	56	58	6
1.700000	57	53	11
1.700000	58	55	9
1.700000	59	55	9
